  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
     61     1  1.0e-05    7.9e+01      98.8    8.7e+01      98.5   0.964   0.931   0.561   15.50
     62     1  1.0e-05    7.8e+01      98.8    8.7e+01      98.5   0.964   0.931   0.564   15.45
     63     1  1.0e-05    7.9e+01      98.7    8.7e+01      98.5   0.964   0.931   0.571   15.32
     64     1  1.0e-05    7.8e+01      98.8    8.7e+01      98.5   0.964   0.932   0.571   15.54
     65     1  1.0e-05    7.9e+01      98.7    8.7e+01      98.5   0.964   0.932   0.574   15.45
     66     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.932   0.570   15.58
     67     1  1.0e-05    7.9e+01      98.7    8.7e+01      98.5   0.964   0.932   0.573   15.48
     68     1  1.0e-05    8.0e+01      98.7    8.6e+01      98.5   0.964   0.932   0.575   14.95
     69     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.932   0.574   15.16
     70     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.964   0.933   0.575   15.23
     71     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.933   0.575   15.39
     72     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.933   0.578   15.29
     73     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.933   0.575   15.14
     74     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.964   0.933   0.576   15.54
     75     1  1.0e-05    8.0e+01      98.6    8.6e+01      98.5   0.964   0.933   0.581   15.65
     76     1  1.0e-05    7.8e+01      98.8    8.6e+01      98.5   0.964   0.933   0.578   15.50
     77     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.964   0.934   0.580   15.21
     78     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.965   0.934   0.578   14.98
     79     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.965   0.934   0.579   15.30
     80     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.965   0.934   0.578   15.03
     81     1  1.0e-05    7.9e+01      98.7    8.6e+01      98.5   0.965   0.934   0.578   14.92
     82     1  1.0e-05    7.8e+01      98.8    8.6e+01      98.5   0.965   0.934   0.575   14.97
     83     1  1.0e-05    7.8e+01      98.8    8.6e+01      98.5   0.965   0.934   0.577   14.93
     84     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.965   0.934   0.575   14.76
     85     1  1.0e-05    7.7e+01      98.8    8.6e+01      98.5   0.965   0.934   0.578   14.85
     86     1  1.0e-05    7.9e+01      98.6    8.6e+01      98.5   0.965   0.934   0.578   15.07
     87     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.965   0.934   0.574   15.01
     88     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.573   14.93
     89     1  1.0e-05    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.70
     90     1  1.0e-07    7.7e+01      98.8    8.6e+01      98.5   0.965   0.935   0.576   14.95
     91     1  1.0e-06    7.9e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.87
     92     1  1.0e-06    7.9e+01      98.7    8.6e+01      98.5   0.965   0.935   0.575   14.91
     93     1  1.0e-06    7.9e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.95
     94     1  1.0e-06    7.8e+01      98.8    8.6e+01      98.5   0.965   0.935   0.575   15.01
     95     1  1.0e-06    7.7e+01      98.7    8.6e+01      98.5   0.965   0.935   0.575   14.85
     96     1  1.0e-06    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   15.09
     97     1  1.0e-06    7.9e+01      98.7    8.6e+01      98.5   0.965   0.935   0.575   15.16
     98     1  1.0e-06    7.8e+01      98.8    8.6e+01      98.5   0.965   0.935   0.576   14.93
     99     1  1.0e-06    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.79
    100     1  1.0e-06    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.87
    101     1  1.0e-06    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.94
    102     1  1.0e-06    7.9e+01      98.7    8.6e+01      98.5   0.965   0.935   0.575   14.97
    103     1  1.0e-06    7.8e+01      98.7    8.6e+01      98.5   0.965   0.935   0.576   14.94
    104     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.96
    105     1  1.0e-06    7.7e+01      98.7    8.6e+01      98.5   0.965   0.935   0.574   14.85
    106     1  1.0e-06    7.7e+01      98.8    8.6e+01      98.5   0.965   0.935   0.575   15.27
    107     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   15.05
    108     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.82
    109     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.62
    110     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.79
    111     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.47
    112     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.60
    113     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.30
    114     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.50
    115     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.57
    116     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.574   14.44
    117     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.574   14.39
    118     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.45
    119     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.50
    120     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.47
    121     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.38
    122     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.42
    123     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.34
    124     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.43
    125     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.26
    126     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.50
    127     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.47
    128     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.58
    129     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.575   14.54
    130     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.49
    131     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.575   14.64
    132     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.577   14.37
    133     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   14.56
    134     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.47
    135     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   14.47
    136     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   14.51
    137     1  1.0e-06    7.8e+01      98.6    8.5e+01      98.5   0.965   0.935   0.577   14.48
    138     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.51
    139     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.577   14.50
    140     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.55
    141     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.53
    142     1  1.0e-06    7.9e+01      98.6    8.5e+01      98.5   0.965   0.935   0.577   14.60
    143     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.39
    144     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.56
    145     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.576   14.48
    146     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.47
    147     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.25
    148     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.576   14.45
    149     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.47
    150     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.53
    151     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.47
    152     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.26
    153     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.44
    154     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.49
    155     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.577   14.56
    156     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.61
    157     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.41
    158     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.53
    159     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.49
    160     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.56
    161     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.44
    162     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.50
    163     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.577   14.60
    164     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.579   14.41
    165     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   14.40
    166     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   14.98
    167     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   15.91
    168     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   16.42
    169     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.87
    170     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.39
    171     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   16.58
    172     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   16.31
    173     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   16.60
    174     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.30
    175     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.67
    176     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.84
    177     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.90
    178     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   18.08
    179     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   18.13
    180     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.99
    181     1  1.0e-06    7.9e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.59
    182     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.579   16.90
    183     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.31
    184     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.580   16.97
    185     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   16.96
    186     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   16.95
    187     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.82
    188     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.45
    189     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.580   17.24
    190     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   16.70
    191     1  1.0e-06    7.8e+01      98.6    8.5e+01      98.5   0.965   0.935   0.579   16.81
    192     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   16.67
    193     1  1.0e-06    7.7e+01      98.8    8.5e+01      98.5   0.965   0.935   0.580   16.90
    194     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.12
    195     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.579   17.00
    196     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   17.08
    197     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.578   17.16
    198     1  1.0e-06    7.8e+01      98.7    8.5e+01      98.5   0.965   0.935   0.581   16.98
    199     1  1.0e-06    7.8e+01      98.8    8.5e+01      98.5   0.965   0.935   0.582   16.93
    200     1  1.0e-06    7.7e+01      98.7    8.5e+01      98.5   0.965   0.935   0.582   17.17
